Abalone,IGR1
Abiyuch,IGR2
Acerola,IGR3
Achilleas,IGR4
Acorn,IGR5
Acorn Squash,IGR6
Adobo,IGR7
Adzuki bean,IGR8
Agar,IGR9
Agave,IGR10
Agave Nectar,IGR11
Akutaq,IGR12
Alaska blackfish,IGR13
Alaska pollock,IGR14
Alaska wild rhubarb,IGR15
Albacore tuna,IGR16
Alfalfa,IGR17
All-purpose flour,IGR18
Allium,IGR19
Allspice,IGR20
Almond,IGR21
Almond essence,IGR22
Alpine sweetvetch,IGR23
Alpinia,IGR24
Amaranth,IGR25
Amaretti,IGR26
American butterfish,IGR27
American Cheese,IGR28
American pokeweed,IGR29
American shad,IGR30
Anatidae,IGR31
Anchovy,IGR32
Angelica,IGR33
Anguilliformes,IGR34
Anise,IGR35
Anise Brandy,IGR36
Anise Hyssop,IGR37
Anise Oil,IGR38
Apple,IGR39
Apple Brandy,IGR40
Apple Cider Vinegar,IGR41
Apple juice,IGR42
Apple Sauce,IGR43
Apricot,IGR44
Arabica coffee,IGR45
Arar,IGR46
Arborio Rice,IGR47
Arepa,IGR48
Armagnac Brandy,IGR49
Arrack,IGR50
Arrowhead,IGR51
Arrowroot,IGR52
Artemisia,IGR53
Artichoke,IGR54
Artichoke heart,IGR55
Arugula,IGR56
Asafoetida,IGR57
Ascidians,IGR58
Ashgourd,IGR59
Asparagus,IGR60
Asparagus spear,IGR61
Atlantic croaker,IGR62
Atlantic halibut,IGR63
Atlantic herring,IGR64
Atlantic mackerel,IGR65
Atlantic menhaden,IGR66
Atlantic pollock,IGR67
Atlantic salmon,IGR68
Atlantic wolffish,IGR69
Aubergine,IGR70
Avocado,IGR71
Babaco,IGR72
Babassu palm,IGR73
Bacon,IGR74
Bagel,IGR75
Baguette,IGR76
Baked beans,IGR77
Baked potato,IGR78
Baking Powder,IGR79
Balsamic Vinegar,IGR80
Bamboo Shoots,IGR81
Banana,IGR82
Bantu Beer,IGR83
Bap,IGR84
Barley,IGR85
Bartlett Pear,IGR86
Basil,IGR87
Basmati Rice,IGR88
Bay Leaves,IGR89
Bayberry,IGR90
Beans,IGR91
Bearded seal,IGR92
Beaver,IGR93
Beech nut,IGR94
Beef,IGR95
Beef brisket,IGR96
Beef mince,IGR97
Beef Processed,IGR98
Beef stock,IGR99
Beefalo,IGR100
Beer,IGR101
Beetroot,IGR102
Beli,IGR103
Bell Peppers,IGR104
Beluga whale,IGR105
Bergamot,IGR106
Berry wine,IGR107
Bilberry,IGR108
Bilberry Wine,IGR109
Biscuit,IGR110
Bison,IGR111
Bitter Cherry,IGR112
Bitter Orange,IGR113
Bittergourd,IGR114
Bivalvia,IGR115
Black Bean,IGR116
Black bear,IGR117
Black crowberry,IGR118
Black Currant,IGR119
Black huckleberry,IGR120
Black mulberry,IGR121
Black olive,IGR122
Black raspberry,IGR123
Black Rice,IGR124
Black salsify,IGR125
Black Tea,IGR126
Black-eyed pea,IGR127
Black-eyed peas,IGR128
Blackberries,IGR129
Blackberry,IGR130
Blackberry Brandy,IGR131
Blue Cheese,IGR132
Blue whiting,IGR133
Blueberries,IGR134
Blueberry,IGR135
Bluefish,IGR136
Bonito,IGR137
Bonnet chilli,IGR138
Borage,IGR139
Botrytized Wine,IGR140
Bottlegourd,IGR141
Bouillon,IGR142
