IGR001,Abalone,Weight
IGR002,Abiyuch,Amount
IGR003,Acerola,Amount
IGR004,Achilleas,Amount
IGR005,Acorn,Amount
IGR006,Acorn Squash,Amount
IGR007,Adobo,Amount
IGR008,Adzuki bean,Weight
IGR009,Agar,Weight
IGR010,Agave,Amount
IGR011,Agave Nectar,Volume
IGR012,Akutaq,Amount
IGR013,Alaska blackfish,Weight
IGR014,Alaska pollock,Weight
IGR015,Alaska wild rhubarb,Amount
IGR016,Albacore tuna,Weight
IGR017,Alfalfa,Weight
IGR018,All-purpose flour,Weight
IGR019,Allium,Amount
IGR020,Allspice,Amount
IGR021,Almond,Weight
IGR022,Almond essence,Volume
IGR023,Alpine sweetvetch,Amount
IGR024,Alpinia,Amount
IGR025,Amaranth,Weight
IGR026,Amaretti,Amount
IGR027,American butterfish,Weight
IGR028,American Cheese,Weight
IGR029,American pokeweed,Amount
IGR030,American shad,Weight
IGR031,Anatidae,Amount
IGR032,Anchovy,Weight
IGR033,Angelica,Amount
IGR034,Anguilliformes,Amount
IGR035,Anise,Weight
IGR036,Anise Brandy,Volume
IGR037,Anise Hyssop,Amount
IGR038,Anise Oil,Volume
IGR039,Apple,Amount
IGR040,Apple Brandy,Volume
IGR041,Apple Cider Vinegar,Volume
IGR042,Apple juice,Volume
IGR043,Apple Sauce,Volume
IGR044,Apricot,Amount
IGR045,Arabica coffee,Amount
IGR046,Arar,Amount
IGR047,Arborio Rice,Weight
IGR048,Arepa,Amount
IGR049,Armagnac Brandy,Volume
IGR050,Arrack,Volume
IGR051,Arrowhead,Weight
IGR052,Arrowroot,Weight
IGR053,Artemisia,Amount
IGR054,Artichoke,Weight
IGR055,Artichoke heart,Weight
IGR056,Arugula,Weight
IGR057,Asafoetida,Weight
IGR058,Ascidians,Amount
IGR059,Ashgourd,Amount
IGR060,Asparagus,Weight
IGR061,Asparagus spear,Weight
IGR062,Atlantic croaker,Weight
IGR063,Atlantic halibut,Weight
IGR064,Atlantic herring,Weight
IGR065,Atlantic mackerel,Weight
IGR066,Atlantic menhaden,Weight
IGR067,Atlantic pollock,Weight
IGR068,Atlantic salmon,Weight
IGR069,Atlantic wolffish,Weight
IGR070,Aubergine,Weight
IGR071,Avocado,Weight
IGR072,Babaco,Amount
IGR073,Babassu palm,Amount
IGR074,Bacon,Weight
IGR075,Bagel,Amount
IGR076,Baguette,Amount
IGR077,Baked beans,Volume
IGR078,Baked potato,Weight
IGR079,Baking Powder,Weight
IGR080,Balsamic Vinegar,Volume
IGR081,Bamboo Shoots,Volume
IGR082,Banana,Amount
IGR083,Bantu Beer,Volume
IGR084,Bap,Amount
IGR085,Barley,Weight
IGR086,Bartlett Pear,Amount
IGR087,Basil,Amount
IGR088,Basmati Rice,Weight
IGR089,Bay Leaves,Amount
IGR090,Bayberry,Amount
IGR091,Beans,Volume
IGR092,Bearded seal,Weight
IGR093,Beaver,Weight
IGR094,Beech nut,Amount
IGR095,Beef,Weight
IGR096,Beef brisket,Weight
IGR097,Beef mince,Weight
IGR098,Beef Processed,Weight
IGR099,Beef stock,Volume
IGR100,Beefalo,Weight
IGR101,Beer,Volume
IGR102,Beetroot,Amount
IGR103,Beli,Amount
IGR104,Bell Peppers,Weight
IGR105,Beluga whale,Weight
IGR106,Bergamot,Amount
IGR107,Berry wine,Volume
IGR108,Bilberry,Amount
IGR109,Bilberry Wine,Volume
IGR110,Biscuit,Amount
IGR111,Bison,Weight
IGR112,Bitter Cherry,Amount
IGR113,Bitter Orange,Amount
IGR114,Bittergourd,Amount
IGR115,Bivalvia,Amount
IGR116,Black Bean,Weight
IGR117,Black bear,Weight
IGR118,Black crowberry,Amount
IGR119,Black Currant,Amount
IGR120,Black huckleberry,Amount
IGR121,Black mulberry,Amount
IGR122,Black olive,Amount
IGR123,Black raspberry,Amount
IGR124,Black Rice,Weight
IGR125,Black salsify,Amount
IGR126,Black Tea,Volume
IGR127,Black-eyed pea,Weight
IGR128,Blackberries,Amount
IGR129,Blackberry,Amount
IGR130,Blackberry Brandy,Volume
IGR131,Blue Cheese,Weight
IGR132,Blue whiting,Weight
IGR133,Blueberries,Amount
IGR134,Blueberry,Amount
IGR135,Bluefish,Weight
IGR136,Bonito,Weight
IGR137,Bonnet chilli,Amount
IGR138,Borage,Amount
IGR139,Botrytized Wine,Volume
IGR140,Bottlegourd,Volume
IGR141,Bouillon,Volume
IGR142,Bourbon,Volume
IGR143,Bourbon Whisky,Volume
IGR144,Bowhead whale,Weight
IGR145,Boysenberry,Amount
IGR146,Braising steak,Weight
IGR147,Bran,Weight
IGR148,Brandy,Volume
IGR149,Brazil Nut,Weight
IGR150,Bread,Amount
IGR151,Breadcrumbs,Weight
IGR152,Breadfruit,Amount
